text,label
rusty paper bag after festival,recyclable
two expired medicine from shop,hazardous
a pack of rotten glass cup from office,glass
two expired medicine from office,hazardous
wet envelope from shop,recyclable
several tear-stained paper cup after festival,recyclable
one pickle jar from office,glass
one soiled leftover rice from office,biodegradable
broken glass found on street,glass
a lot of cooked food scrap in school,biodegradable
several old hard disk found on street,ewaste
several used food packet in school,biodegradable
a pack of wine bottle after festival,glass
a lot of rotten worn T-shirt in school,textile
several used diaper from office,sanitary
a lot of thermometer (mercury) in market,hazardous
two rusty cooking oil tin from kitchen,metal
two carton after festival,recyclable
a lot of tear-stained carton after festival,recyclable
a lot of worn T-shirt after festival,textile
a lot of old clothes from shop,textile
one rusty used battery from kitchen,hazardous
a pack of soiled magazine from office,recyclable
circuit board in school,ewaste
envelope in market,recyclable
a lot of used flower waste from kitchen,biodegradable
one paper cup from office,recyclable
one dry paper cup found on street,recyclable
a pack of carton from shop,recyclable
two coconut husk from shop mixed with paper,biodegradable
several old soda can from kitchen,metal
paper packet found on street,recyclable
two metal scrap in school,metal
several broken glass in school mixed with cooking oil tin,glass
two used combined trash bag from shop mixed with plastic,mixed
a pack of used bedsheet found on street mixed with paper,textile
a lot of aluminium foil from kitchen mixed with plastic,metal
one old clothes in market mixed with plastic,textile
one tin box from kitchen mixed with plastic,metal
a lot of acid bottle from office,hazardous
two rotten paper cup from shop,recyclable
a pack of banana peel from shop,biodegradable
a pack of crumpled hard disk from kitchen,ewaste
crumpled thermometer (mercury) from kitchen,hazardous
wet cow dung from shop,compostable
several garden leaves in market mixed with plastic,compostable
a pack of old carton in market,recyclable
a lot of cardboard box found on street,recyclable
several used soda can in market,metal
a lot of used paper cup from office,recyclable
a pack of wine bottle from office,glass
several rusty carton from kitchen,recyclable
several garden leaves in school,compostable
egg shell after festival,compostable
a lot of used envelope from shop,recyclable
empty flower waste in market,biodegradable
several paper packet after festival,recyclable
a lot of used miscellaneous waste from shop,mixed
one broken carton from kitchen,recyclable
several old paper cup from kitchen,recyclable
one household mixed waste from kitchen,mixed
one soiled cans from office,metal
a lot of street sweepings from shop,mixed
paint can in school,hazardous
a pack of soiled envelope from office,recyclable
one paper cup after festival mixed with plastic,recyclable
one rotten mango found on street,biodegradable
one broken carton from kitchen,recyclable
one peeled cardboard box from shop,recyclable
two plastic container found on street,recyclable
two plastic bottle in market mixed with plastic,recyclable
several pickle jar in school,glass
cardboard box from office,recyclable
a pack of tear-stained cloth pieces from kitchen,textile
a pack of wet plastic bottle in school,recyclable
two keyboard found on street,ewaste
a pack of aluminium foil in market,metal
a lot of crumpled plastic container in school,recyclable
several used envelope from shop,recyclable
a pack of plastic container found on street,recyclable
two paper bag from office,recyclable
one old leftover rice in market,biodegradable
several rotten cotton swabs in school,sanitary
compostable bag after festival,compostable
two household mixed waste after festival mixed with egg shell,mixed
wet household mixed waste in market,mixed
wet cooking oil tin found on street,metal
mobile battery from kitchen,ewaste
a lot of leftover dal after festival,biodegradable
a pack of dry grass clippings in school,compostable
a lot of paper cup found on street,recyclable
one rotten leftover rice from kitchen,biodegradable
a pack of dry old clothes in school,textile
two circuit board in market,ewaste
rotten cooking oil tin in market,metal
empty solvent jar found on street,hazardous
several cardboard box found on street,recyclable
two used vegetable peels in school,biodegradable
two cooking oil tin in school,metal
one cow dung from shop,compostable
several cloth pieces in market,textile
dry coconut husk in market,biodegradable
a lot of crumpled glass bottle in market,glass
a pack of empty paper packet from kitchen,recyclable
one broken used battery in market,hazardous
two old old laptop in school mixed with used diaper,ewaste
a lot of crumpled printer cartridge from shop,ewaste
a pack of crumpled fruit waste in school mixed with plastic,biodegradable
one old printer cartridge from shop mixed with coconut husk,ewaste
a lot of shoe sole from kitchen,textile
used cooking oil tin found on street,metal
one tear-stained mobile battery from kitchen,ewaste
a lot of soiled coconut husk from kitchen,biodegradable
two old street sweepings in school,mixed
thermometer (mercury) from kitchen,hazardous
several crumpled cooking oil tin from office,metal
leftover dal from shop,biodegradable
one miscellaneous waste from kitchen,mixed
a lot of wine bottle from shop,glass
two broken acid bottle in market,hazardous
cans in school,metal
two grass clippings from kitchen,compostable
cans in school,metal
a lot of rotten pesticide bottle in school,hazardous
a lot of wet broken charger from office,ewaste
two old remote control from kitchen,ewaste
a lot of soiled paint can from shop,hazardous
a lot of peeled coffee grounds from office,compostable
a pack of circuit board found on street,ewaste
a pack of paper cup in market,recyclable
a lot of hard disk in school,ewaste
a lot of plastic container from shop mixed with paper,recyclable
two soiled mobile battery found on street,ewaste
cooked food scrap in school mixed with paper,biodegradable
a pack of crumpled sanitary pad in market,sanitary
two cooked food scrap from office,biodegradable
two tear-stained coconut husk from kitchen,biodegradable
a lot of soiled paper cup found on street,recyclable
cardboard box after festival,recyclable
paint can from office,hazardous
several soda can from office,metal
one glass cup in school,glass
a pack of peeled miscellaneous waste from shop,mixed
broken glass in market,glass
one wine bottle found on street mixed with plastic,glass
envelope found on street,recyclable
a pack of keyboard after festival,ewaste
a pack of paper packet found on street,recyclable
a lot of crumpled keyboard found on street,ewaste
several household mixed waste from office,mixed
two crumpled combined trash bag in market,mixed
one peeled cotton swabs in school,sanitary
a pack of acid bottle in market,hazardous
a pack of old hard disk after festival,ewaste
several old envelope found on street,recyclable
a lot of crumpled broken glass in school,glass
several envelope from shop,recyclable
two broken worn T-shirt in market,textile
one old pickle jar from office,glass
several glass jar in market,glass
two rusty paper cup from shop,recyclable
several thermometer (mercury) from office,hazardous
a pack of old circuit board found on street,ewaste
one rusty miscellaneous waste from office,mixed
one dry mobile battery from office,ewaste
one plastic container in school,recyclable
rotten combined trash bag from kitchen,mixed
several empty shoe sole after festival,textile
two broken glass in market,glass
one miscellaneous waste in market,mixed
one rusty coconut husk from office,biodegradable
a lot of dry banana peel found on street,biodegradable
cotton swabs from office,sanitary
two glass cup from shop,glass
several tampon in school,sanitary
a pack of peeled hard disk from shop,ewaste
one wet plastic container in market,recyclable
one tampon in market mixed with paper cup,sanitary
a lot of wet old mobile phone from office,ewaste
tea leaves found on street,biodegradable
two broken combined trash bag after festival,mixed
two empty tea leaves in school mixed with plastic,biodegradable
several street sweepings from kitchen,mixed
several soiled paper bag from office,recyclable
a pack of soiled garden leaves in school,compostable
two tampon from office,sanitary
several magazine in market mixed with plastic,recyclable
two keyboard in market,ewaste
two broken pickle jar from office,glass
a lot of tin box from office,metal
a pack of cotton swabs from kitchen,sanitary
old laptop from office,ewaste
two crumpled sanitary pad found on street mixed with used bedsheet,sanitary
two soiled paint can in school,hazardous
one tear-stained envelope from shop,recyclable
expired medicine from shop,hazardous
one combined trash bag after festival,mixed
two paper bag in market,recyclable
fruit waste from kitchen mixed with pesticide bottle,biodegradable
a pack of carton in market,recyclable
two tear-stained pickle jar from shop,glass
two dry paper cup from shop,recyclable
printer cartridge from kitchen,ewaste
two cooking oil tin from office,metal
pickle jar from office,glass
two remote control in school,ewaste
a lot of magazine from office,recyclable
a lot of worn T-shirt found on street,textile
a lot of keyboard from kitchen,ewaste
a lot of soiled keyboard found on street,ewaste
rotten newspaper in market,recyclable
rusty envelope from office,recyclable
a lot of cooked food scrap from kitchen mixed with aluminium foil,biodegradable
several used vegetable peels in school,biodegradable
a pack of crumpled vegetable peels in market,biodegradable
two cardboard box found on street,recyclable
two broken glass from shop,glass
a lot of empty cotton swabs from kitchen,sanitary
one coconut husk from office,biodegradable
a pack of dry paper cup found on street,recyclable
a lot of empty paint can found on street,hazardous
several tampon from shop,sanitary
tear-stained street sweepings in school,mixed
aluminium foil in market mixed with old mobile phone,metal
two newspaper from kitchen,recyclable
combined trash bag after festival,mixed
leftover rice found on street,biodegradable
a pack of miscellaneous waste from office,mixed
peeled torn saree found on street,textile
a pack of miscellaneous waste from shop,mixed
a lot of vegetable peels from kitchen,biodegradable
several wet envelope after festival,recyclable
one used paper cup after festival,recyclable
tear-stained fruit waste from kitchen,biodegradable
one street sweepings from shop,mixed
one tear-stained aluminium foil found on street,metal
a lot of rusty leftover dal found on street,biodegradable
several soiled paper cup after festival mixed with cloth pieces,recyclable
several carton found on street mixed with paper,recyclable
a pack of dry vegetable peels in school,biodegradable
a lot of coffee grounds from kitchen,compostable
one tear-stained hard disk in market,ewaste
soda can after festival,metal
several glass bottle in school,glass
several glass bottle after festival,glass
a lot of tear-stained used food packet after festival,biodegradable
one rotten banana peel found on street,biodegradable
several glass jar from kitchen,glass
two newspaper in school,recyclable
one cotton swabs from kitchen,sanitary
a pack of combined trash bag from office,mixed
cloth pieces after festival,textile
one cooking oil tin from shop,metal
crumpled keyboard in school,ewaste
wet paper packet from office,recyclable
one peeled solvent jar after festival,hazardous
a lot of used used bedsheet in school,textile
several paper packet in market,recyclable
two rotten aluminium foil in school,metal
several peeled flower waste from kitchen,biodegradable
a pack of cardboard box in school,recyclable
several cardboard box found on street,recyclable
a lot of broken broken charger in school,ewaste
a pack of used diaper from office,sanitary
two plastic bottle in market,recyclable
a lot of rotten glass jar found on street,glass
a pack of peeled cardboard box from kitchen,recyclable
several cooked food scrap from office,biodegradable
several tear-stained acid bottle found on street mixed with envelope,hazardous
a pack of empty wine bottle from shop,glass
two vegetable peels after festival,biodegradable
one old plastic container from kitchen,recyclable
a lot of wipes in school,sanitary
one tear-stained combined trash bag in school,mixed
a pack of wet printer cartridge in market,ewaste
two old old laptop from office,ewaste
several cooked food scrap in school,biodegradable
keyboard in school,ewaste
several soiled acid bottle after festival,hazardous
two broken soda can in school,metal
a pack of used sanitary pad in school,sanitary
several rotten cooked food scrap from shop,biodegradable
broken glass after festival,glass
a pack of wet printer cartridge from office,ewaste
a lot of paper cup after festival,recyclable
several magazine found on street,recyclable
printer cartridge from office,ewaste
one cooking oil tin after festival,metal
one dry leftover rice from shop,biodegradable
one rusty worn T-shirt after festival,textile
a lot of tampon from kitchen,sanitary
several chemicals bottle in school,hazardous
pickle jar from office,glass
a lot of peeled wine bottle from office,glass
used battery from shop,hazardous
a lot of used battery in market,hazardous
tear-stained old laptop from shop,ewaste
a pack of used broken glass in market,glass
a pack of magazine in market,recyclable
a pack of magazine in school,recyclable
one street sweepings in school,mixed
a pack of expired medicine from shop,hazardous
one rusty cardboard box in school,recyclable
newspaper found on street,recyclable
soiled solvent jar from shop,hazardous
a pack of coffee grounds from office,compostable
cloth pieces in market mixed with compostable bag,textile
a pack of cotton swabs in school,sanitary
one cloth pieces from shop,textile
a lot of keyboard found on street,ewaste
a pack of peeled combined trash bag after festival,mixed
a lot of envelope in market mixed with sanitary pad,recyclable
several leftover rice in school,biodegradable
a lot of flower waste from kitchen,biodegradable
one rusty tampon from shop,sanitary
a lot of paint can in market,hazardous
one old hard disk after festival mixed with paper,ewaste
one keyboard from shop,ewaste
several wet mobile battery after festival,ewaste
several empty sanitary pad in school mixed with plastic,sanitary
several earphones from office,ewaste
several used diaper after festival,sanitary
wet newspaper from office,recyclable
two garden leaves from kitchen,compostable
a lot of rotten sanitary pad from shop,sanitary
a pack of needle syringe from office,hazardous
two tear-stained glass jar after festival,glass
a pack of tin box after festival,metal
several empty vegetable peels from kitchen,biodegradable
a lot of cloth pieces in school mixed with paper,textile
one dry carton in market,recyclable
a lot of crumpled circuit board after festival,ewaste
several empty magazine from shop,recyclable
several tea leaves from kitchen,biodegradable
a pack of paint can from kitchen,hazardous
rotten mango from shop,biodegradable
one tin box in school mixed with used diaper,metal
two wipes found on street,sanitary
several keyboard from shop,ewaste
a pack of used used diaper in school,sanitary
several remote control in school,ewaste
two tear-stained cooked food scrap from shop,biodegradable
one magazine from kitchen,recyclable
a pack of used battery from office,hazardous
a lot of old magazine from shop,recyclable
household mixed waste from office,mixed
a lot of rotten fruit waste in school,biodegradable
several wet aluminium foil after festival,metal
a lot of cooked food scrap from shop,biodegradable
one grass clippings from shop,compostable
a lot of metal scrap after festival,metal
several old needle syringe in school,hazardous
carton in market,recyclable
old cloth pieces after festival,textile
one rusty banana peel from kitchen,biodegradable
a pack of crumpled pickle jar from kitchen,glass
one old mobile phone from kitchen,ewaste
two broken vegetable peels in school,biodegradable
several wine bottle from kitchen,glass
wet solvent jar from office,hazardous
a lot of rotten carton found on street,recyclable
a lot of paint can from kitchen,hazardous
several peeled miscellaneous waste from office,mixed
a pack of empty envelope in school,recyclable
several dry remote control in market,ewaste
a lot of plastic container from shop,recyclable
two dry acid bottle after festival,hazardous
several used needle syringe in school,hazardous
a pack of compostable bag in market mixed with paper,compostable
one miscellaneous waste after festival,mixed
cardboard box from shop mixed with plastic,recyclable
two rusty worn T-shirt in market,textile
several empty old mobile phone after festival mixed with paper,ewaste
one peeled coffee grounds from shop mixed with wipes,compostable
several soiled leftover rice in school,biodegradable
a lot of leftover dal from kitchen,biodegradable
a lot of used diaper in market,sanitary
one fruit waste from shop,biodegradable
one wet compostable bag in school,compostable
tear-stained glass cup in school,glass
several rotten paper cup in market,recyclable
one broken used bedsheet after festival,textile
a lot of garden leaves from shop,compostable
a lot of old glass bottle from office,glass
a lot of used printer cartridge after festival,ewaste
street sweepings from kitchen,mixed
a pack of empty compostable bag from shop,compostable
used fruit waste from shop,biodegradable
two newspaper from shop,recyclable
two tea leaves from office,biodegradable
two banana peel from office,biodegradable
a pack of soiled plastic container from kitchen,recyclable
a pack of soiled paper bag in school,recyclable
several paper packet from kitchen,recyclable
a pack of tear-stained cardboard box from office,recyclable
a lot of crumpled tin box in school,metal
a pack of empty hard disk from kitchen,ewaste
a lot of chemicals bottle after festival,hazardous
crumpled chemicals bottle from office,hazardous
two broken cotton swabs from kitchen,sanitary
several used paint can found on street,hazardous
one banana peel found on street,biodegradable
a lot of empty newspaper after festival,recyclable
two paper packet from kitchen,recyclable
several wine bottle from office,glass
two rusty plastic container in school,recyclable
rotten tampon from office,sanitary
several old paper packet after festival,recyclable
several wet used food packet from kitchen,biodegradable
a pack of leftover dal found on street,biodegradable
pickle jar from office,glass
circuit board from office,ewaste
one tear-stained combined trash bag in school,mixed
a lot of crumpled worn T-shirt from office,textile
a pack of fruit waste in school,biodegradable
several rusty used food packet from kitchen,biodegradable
several coffee grounds in market,compostable
one rusty paper packet from office,recyclable
two used tea leaves from shop,biodegradable
old magazine found on street,recyclable
a pack of old paper cup found on street,recyclable
one flower waste from shop,biodegradable
one worn T-shirt from kitchen,textile
two tear-stained rotten mango from kitchen,biodegradable
one old compostable bag from shop,compostable
one old worn T-shirt in school,textile
several peeled old clothes from office,textile
plastic bottle from shop,recyclable
several newspaper in market,recyclable
a pack of rusty wipes from shop,sanitary
tea leaves from office,biodegradable
two peeled pesticide bottle in market,hazardous
a pack of newspaper in market,recyclable
one used used diaper after festival,sanitary
old plastic bottle found on street,recyclable
a pack of cooked food scrap in school,biodegradable
two newspaper from shop,recyclable
one soiled fruit waste in market,biodegradable
two old old clothes in school,textile
a lot of flower waste from shop,biodegradable
a lot of used diaper from kitchen,sanitary
several wet miscellaneous waste from kitchen,mixed
a lot of glass bottle from kitchen,glass
a lot of plastic container in market,recyclable
a pack of old laptop from shop,ewaste
street sweepings from shop,mixed
one fruit waste in market,biodegradable
two chemicals bottle after festival mixed with plastic,hazardous
one old compostable bag in school,compostable
magazine from office,recyclable
several wet coffee grounds from kitchen,compostable
several broken worn T-shirt from office,textile
a lot of crumpled wipes after festival,sanitary
two empty cotton swabs in market,sanitary
two fruit waste from shop,biodegradable
a lot of rotten expired medicine from shop,hazardous
a lot of old cow dung from shop mixed with plastic,compostable
a lot of peeled coconut husk from shop mixed with paper,biodegradable
a lot of coconut husk from office,biodegradable
rusty tampon from kitchen,sanitary
a lot of fruit waste from kitchen,biodegradable
a pack of rotten egg shell from kitchen,compostable
two banana peel from office,biodegradable
a pack of fruit waste after festival,biodegradable
several acid bottle from shop,hazardous
paper bag from office mixed with egg shell,recyclable
a lot of tear-stained newspaper found on street,recyclable
one empty rotten mango found on street,biodegradable
a pack of paper bag from kitchen,recyclable
a lot of dry broken charger from kitchen,ewaste
plastic bottle found on street,recyclable
two paper packet in school,recyclable
several empty circuit board from office,ewaste
a pack of wine bottle after festival,glass
one wipes from shop,sanitary
one rusty glass jar in school,glass
several old wine bottle from office,glass
a lot of empty glass jar from office mixed with paper,glass
a pack of broken paper packet in school,recyclable
one glass bottle from kitchen,glass
several rotten coconut husk in market,biodegradable
a lot of carton from shop mixed with plastic,recyclable
several rotten metal scrap found on street,metal
one miscellaneous waste after festival,mixed
a lot of glass jar from kitchen,glass
a lot of plastic bottle in school,recyclable
a pack of glass jar found on street,glass
several crumpled circuit board from kitchen,ewaste
two paper packet after festival mixed with plastic,recyclable
a pack of envelope found on street,recyclable
two soiled paper bag after festival,recyclable
one sanitary pad after festival,sanitary
soda can in school,metal
several hard disk in market,ewaste
a pack of crumpled wine bottle in market,glass
two empty combined trash bag found on street mixed with magazine,mixed
soda can after festival,metal
several broken wine bottle found on street,glass
a pack of used battery in market,hazardous
a lot of used miscellaneous waste from shop,mixed
a lot of vegetable peels in school,biodegradable
a pack of rusty leftover dal from shop,biodegradable
several fruit waste found on street,biodegradable
several rusty vegetable peels after festival,biodegradable
several shoe sole in school,textile
a pack of paper cup from shop,recyclable
several aluminium foil found on street,metal
a lot of used banana peel found on street,biodegradable
magazine after festival,recyclable
tin box in school,metal
one tear-stained cardboard box from office,recyclable
a pack of dry glass bottle from shop,glass
several needle syringe after festival,hazardous
one wet cooked food scrap after festival,biodegradable
miscellaneous waste from shop,mixed
a lot of sanitary pad in market,sanitary
several tear-stained cooking oil tin from office,metal
several used torn saree after festival,textile
a lot of flower waste in school,biodegradable
a pack of glass jar from office,glass
a pack of vegetable peels after festival,biodegradable
several rotten plastic bottle from office,recyclable
one old paper cup after festival,recyclable
several used torn saree from kitchen,textile
a lot of wet envelope in market,recyclable
broken flower waste in school mixed with wine bottle,biodegradable
several cooked food scrap from kitchen,biodegradable
broken cooked food scrap in school,biodegradable
two envelope after festival,recyclable
one soiled old laptop from shop,ewaste
several dry aluminium foil after festival,metal
crumpled torn saree from kitchen,textile
several rotten fruit waste in market,biodegradable
a lot of earphones from office,ewaste
several pickle jar found on street mixed with plastic,glass
one rotten paper cup from shop,recyclable
two empty soda can in school,metal
several old used bedsheet from kitchen,textile
a pack of magazine found on street mixed with old mobile phone,recyclable
two mobile battery found on street,ewaste
magazine from shop,recyclable
a lot of peeled glass jar in market mixed with paper,glass
one mobile battery after festival,ewaste
several needle syringe from office,hazardous
one old laptop after festival,ewaste
two coconut husk found on street,biodegradable
envelope from shop mixed with egg shell,recyclable
several rotten fruit waste in school,biodegradable
leftover dal from shop,biodegradable
a pack of rusty tea leaves from shop mixed with pesticide bottle,biodegradable
rusty grass clippings after festival,compostable
a pack of old pickle jar found on street mixed with plastic,glass
one tear-stained chemicals bottle from office,hazardous
a pack of keyboard from office,ewaste
several used pickle jar from office,glass
several fruit waste in market,biodegradable
two broken cooking oil tin in market mixed with plastic,metal
two tin box from kitchen,metal
two empty paper cup from kitchen,recyclable
a lot of paper bag in school,recyclable
crumpled cardboard box in market,recyclable
a lot of miscellaneous waste in school,mixed
a lot of envelope found on street,recyclable
one paper cup found on street,recyclable
a lot of used newspaper in market,recyclable
a pack of leftover dal found on street,biodegradable
several banana peel from shop,biodegradable
several old solvent jar in school,hazardous
a pack of rotten cow dung from shop,compostable
a pack of crumpled egg shell after festival,compostable
several cardboard box from kitchen,recyclable
several rotten compostable bag from office,compostable
a pack of vegetable peels from kitchen,biodegradable
one rotten mango in school,biodegradable
two empty pickle jar after festival,glass
a lot of tear-stained wine bottle from shop mixed with chemicals bottle,glass
one paper bag from kitchen,recyclable
two wine bottle after festival,glass
two envelope from shop,recyclable
two old plastic bottle after festival,recyclable
two magazine found on street,recyclable
one newspaper in school,recyclable
a pack of old sanitary pad from office mixed with plastic,sanitary
a lot of sanitary pad in school,sanitary
several used plastic container in market,recyclable
one peeled newspaper in school,recyclable
a pack of glass cup from office,glass
two torn saree found on street,textile
a pack of used paper cup from office,recyclable
empty cooking oil tin found on street,metal
one tear-stained wipes in market,sanitary
a lot of dry leftover dal from shop,biodegradable
two used leftover dal in school mixed with egg shell,biodegradable
a lot of cotton swabs from kitchen,sanitary
several used cooked food scrap in market mixed with aluminium foil,biodegradable
several flower waste from office,biodegradable
several leftover dal after festival,biodegradable
a lot of glass jar from office,glass
several old mobile phone in school,ewaste
two expired medicine from kitchen,hazardous
several dry pickle jar from kitchen,glass
one magazine from kitchen,recyclable
a lot of leftover dal from office,biodegradable
two miscellaneous waste from shop,mixed
cans from kitchen,metal
a lot of empty plastic container from kitchen,recyclable
several rotten mango in school,biodegradable
a lot of crumpled glass jar found on street,glass
a lot of old clothes in school,textile
a lot of rusty metal scrap after festival,metal
a pack of circuit board in market,ewaste
several empty rotten mango found on street,biodegradable
leftover dal from office,biodegradable
one broken plastic container from shop,recyclable
a pack of torn saree in school,textile
one rusty rotten mango in market,biodegradable
leftover rice found on street,biodegradable
two magazine in school mixed with paper,recyclable
one tear-stained pickle jar from office mixed with miscellaneous waste,glass
soiled carton from shop mixed with rotten mango,recyclable
several worn T-shirt after festival,textile
two peeled glass bottle from shop,glass
one peeled plastic container from shop,recyclable
a lot of earphones from shop,ewaste
one broken tampon from office,sanitary
a pack of cotton swabs from office,sanitary
several garden leaves from shop,compostable
a pack of used used food packet from shop,biodegradable
a pack of used used battery found on street,hazardous
a pack of metal scrap from shop,metal
a lot of metal scrap found on street,metal
a lot of tear-stained paper packet from kitchen,recyclable
a pack of soiled plastic bottle found on street,recyclable
a pack of egg shell found on street,compostable
several crumpled paper cup from shop,recyclable
two wine bottle from kitchen,glass
old paper bag after festival,recyclable
one broken cooking oil tin in market,metal
one empty banana peel after festival,biodegradable
banana peel from shop,biodegradable
one rotten mango from office,biodegradable
plastic bottle from shop,recyclable
one broken expired medicine in market,hazardous
acid bottle in school,hazardous
several pesticide bottle in market,hazardous
two dry acid bottle found on street,hazardous
two tea leaves in school,biodegradable
one rotten acid bottle after festival,hazardous
a pack of rusty acid bottle after festival,hazardous
rusty mobile battery in school,ewaste
a lot of peeled used food packet after festival,biodegradable
a pack of coconut husk found on street mixed with earphones,biodegradable
a pack of soiled soda can in market,metal
a pack of glass jar from shop,glass
dry printer cartridge after festival,ewaste
one rusty garden leaves from kitchen,compostable
a pack of crumpled acid bottle found on street,hazardous
plastic container from shop,recyclable
tear-stained leftover dal from kitchen,biodegradable
two earphones after festival,ewaste
cardboard box found on street,recyclable
rotten mango from office,biodegradable
two rusty envelope in school,recyclable
one crumpled printer cartridge in school,ewaste
a pack of old clothes after festival,textile
glass cup from kitchen,glass
one rotten household mixed waste after festival,mixed
one remote control from office,ewaste
several old cotton swabs from shop mixed with expired medicine,sanitary
a lot of broken glass after festival,glass
several broken glass cup from shop,glass
several flower waste found on street,biodegradable
two rotten leftover rice after festival,biodegradable
two magazine after festival,recyclable
two used food packet in school,biodegradable
several rotten vegetable peels in market,biodegradable
several dry cooking oil tin after festival,metal
a lot of dry old laptop in market,ewaste
a pack of broken plastic bottle after festival,recyclable
several broken vegetable peels found on street,biodegradable
a lot of dry paint can found on street,hazardous
several cans found on street,metal
a pack of soiled circuit board after festival,ewaste
a lot of peeled envelope in school,recyclable
one street sweepings from shop,mixed
two rotten flower waste found on street,biodegradable
two worn T-shirt from kitchen,textile
several solvent jar found on street,hazardous
two peeled paper packet after festival,recyclable
several wet wipes after festival,sanitary
two old paper cup found on street,recyclable
a pack of peeled glass cup from shop,glass
a lot of carton in market,recyclable
several banana peel from office,biodegradable
a pack of empty paper cup in market,recyclable
two soiled tea leaves in market,biodegradable
a pack of paper packet in school,recyclable
several leftover dal in school,biodegradable
a pack of used vegetable peels in school,biodegradable
several soiled expired medicine from kitchen,hazardous
a pack of rotten paint can in school,hazardous
a lot of worn T-shirt in school mixed with paper,textile
one flower waste from kitchen mixed with paper,biodegradable
a pack of broken tea leaves in school,biodegradable
two plastic container from shop,recyclable
a lot of old used battery from kitchen,hazardous
circuit board from kitchen,ewaste
a pack of coconut husk in market mixed with combined trash bag,biodegradable
a lot of paper bag in school,recyclable
broken cooking oil tin after festival,metal
a lot of soiled magazine in market,recyclable
two egg shell in school,compostable
a lot of plastic container in school,recyclable
two tin box from shop,metal
several used paper cup found on street,recyclable
a lot of crumpled aluminium foil in market,metal
several broken metal scrap from shop,metal
several pickle jar from kitchen mixed with plastic,glass
a lot of rusty plastic bottle found on street,recyclable
a lot of dry hard disk in school,ewaste
two wet glass jar in school,glass
two wine bottle found on street,glass
two cotton swabs in market,sanitary
two plastic bottle from kitchen,recyclable
rotten magazine after festival,recyclable
one old mobile battery in school,ewaste
two paper packet in school,recyclable
several tear-stained cooking oil tin from kitchen,metal
a lot of broken plastic bottle from shop mixed with paper,recyclable
one rotten pesticide bottle found on street,hazardous
vegetable peels after festival mixed with paper,biodegradable
soiled grass clippings after festival,compostable
a lot of miscellaneous waste in school,mixed
two empty household mixed waste found on street,mixed
several circuit board in market,ewaste
several used torn saree in market,textile
cardboard box found on street,recyclable
a pack of magazine after festival,recyclable
two old miscellaneous waste from shop,mixed
several old soda can after festival,metal
a lot of wet plastic bottle after festival,recyclable
one soiled needle syringe found on street,hazardous
several old laptop from shop,ewaste
one chemicals bottle from kitchen,hazardous
several rotten carton from kitchen mixed with plastic,recyclable
one leftover dal after festival,biodegradable
a lot of plastic container from office,recyclable
glass bottle in market,glass
one paper cup after festival,recyclable
a pack of cardboard box after festival,recyclable
a lot of combined trash bag from kitchen,mixed
two tear-stained plastic container in school mixed with paper,recyclable
two old sanitary pad in school,sanitary
a pack of used diaper from office,sanitary
a pack of plastic container in market,recyclable
two worn T-shirt from kitchen,textile
a lot of envelope found on street,recyclable
crumpled cans from office,metal
one empty cooking oil tin after festival,metal
several used needle syringe in market,hazardous
two glass cup from shop,glass
one tear-stained coconut husk in school,biodegradable
circuit board from office,ewaste
a pack of old cardboard box from kitchen,recyclable
several tear-stained tea leaves in market,biodegradable
a pack of soiled combined trash bag in school,mixed
a pack of rotten mango in school,biodegradable
two tear-stained paper bag from shop,recyclable
crumpled paper bag from office,recyclable
a lot of acid bottle in school,hazardous
a pack of old pesticide bottle in school,hazardous
two shoe sole from shop,textile
a lot of old thermometer (mercury) from kitchen,hazardous
a lot of pickle jar found on street mixed with paper packet,glass
dry wipes in school,sanitary
one dry metal scrap found on street,metal
two carton from kitchen,recyclable
a lot of tampon in market,sanitary
one garden leaves from shop,compostable
broken charger after festival,ewaste
one tear-stained cloth pieces from kitchen,textile
one garden leaves after festival,compostable
circuit board after festival,ewaste
a lot of banana peel from office,biodegradable
one rotten mango in market,biodegradable
one rusty street sweepings found on street,mixed
one wet sanitary pad from shop mixed with paper,sanitary
two empty old mobile phone from office,ewaste
a pack of empty torn saree found on street,textile
two keyboard from office,ewaste
one peeled household mixed waste from shop,mixed
wipes from shop,sanitary
rotten keyboard from office,ewaste
one aluminium foil in school,metal
several tea leaves from office,biodegradable
a lot of paper cup after festival,recyclable
a pack of cow dung found on street,compostable
one magazine from shop,recyclable
a lot of empty coconut husk after festival,biodegradable
a lot of plastic bottle from shop,recyclable
several used envelope in market,recyclable
a lot of used glass jar in school,glass
wet carton in market,recyclable
carton found on street,recyclable
crumpled combined trash bag in school,mixed
a lot of old magazine in school,recyclable
wet paper cup from kitchen,recyclable
glass bottle from shop,glass
several used diaper after festival,sanitary
one chemicals bottle after festival,hazardous
one peeled old clothes found on street,textile
a pack of old cans after festival,metal
a pack of peeled chemicals bottle from shop,hazardous
one keyboard from shop,ewaste
leftover dal found on street,biodegradable
two cotton swabs from kitchen,sanitary
a lot of dry used bedsheet from kitchen,textile
a pack of empty cooking oil tin in market,metal
one broken thermometer (mercury) after festival mixed with plastic,hazardous
one peeled envelope from office,recyclable
a lot of dry glass cup in market,glass
several wine bottle from shop,glass
a pack of old carton after festival,recyclable
several tear-stained used food packet found on street,biodegradable
